body,title
Tabasco suma 9 mil 988 casos confirmados y 998 fallecimientos por Covid-19 al 27 de junio. La incidencia de Covid-19 en la entidad es de 388.29 casos por cada 100 mil habitantes.,"Casos de Covid-19 en Yucatán, Quintana Roo y Tabasco al 27 de junio"
"El senador Jorge Carlos Ramírez Marín (PRI) pidió licencia a su cargo en el Senado de manera indefinida, con el fin -dijo- de dejar la representación de Yucatán en manos de su suplente, Jorge Habib, en medio de la discusión de las leyes relativas al T-MEC.",Ramírez Marín pide licencia al Senado
"La Covid-19 se convirtió en una de las principales causas de muerte en Chile, donde se registran más de 5 mil 500 víctimas y 271 mil contagiados, según el último balance del gobierno sobre la enfermedad, pero los fallecidos se acercarían a los 9 mil bajo criterios de la OMS.",Covid-19 se convierte en una de las principales causas de muerte en Chile
"De acuerdo con la página oficial de Kaspersky, una compañía internacional dedicada a la seguridad informática, muchos usuarios latinoamericanos navegan sin preocupación por la red, ignorando que existen algunos riesgos que provienen desde tu router de casa.",Así puedes evitar los hackeos desde casa
"
La actriz Salma Hayek abrió el baúl de los recuerdos y compartió en Instagram un fragmento de la película From Dusk Till Dawn con la que acaparó los reflectores en 1996, cuando ella tenía 30 años. ",
"Gloria Estefan regresa después de siete años sin publicar un disco y lo hace desde el ritmo brasileño, en honor a este país y agradecida por poder seguir cantando: ""la música me salvó. Es un privilegio y un honor que otras personas escuchen mi música y lo seguiré haciendo hasta el día que no pueda cantar"", dijo. ",Gloria Estefan regresa y lo hace de manera brasileña
Texto: Elisa Villa Román,La abundancia petrolera “vino y se fue” en noches de diciembre
Texto: Carlos Villasana y Ruth Gómez,Los primeros departamentos de la capital
"
La Administración de Alimentos y Medicamentos de Estados Unidos, (FDA por sus siglas en inglés) emitió una alerta por desinfectantes potencialmente tóxicos, elaborados y distribuidos por Esk Biochem SA de CV. ",
"
El 2020 es año electoral en Estados Unidos. Lo estadounidenses elegirán presidente, vicepresidente, al 100% de la Cámara de Representantes y 34 asientos del senado. Además, 11 estados y dos territorios votarán por gobernador. ",
Texto: Cristina Hernández  ,"“El Bello Greco”, el primer luchador exótico "
"La fracción de Morena en el Senado atoró el dictamen de la Ley de Protección a la Innovación Industrial, que se discutía en las Comisiones Unidas de Economía, Salud y Estudios Legislativos Segunda, porque “carece de sentido social”, según afirmaron.",Morena atora dictamen de patentes farmacéuticas en el Senado
El gobierno del Estado de México a través de la Secretaría del Medio Ambiente informó que se mantiene el cierre de operaciones de los Centros de Verificación de Emisiones Contaminantes de Vehículos Automotores Autorizados (CVECA),Citas para verificar Edomex 2020: Entérate 
"El icónico Autódromo Internacional de Mugello podría ser parte de una triple fecha en Italia para el calendario acortado de esta temporada de la F1. Esto se llevaría a cabo justamente en el fin de semana que Ferrari cumpliría su Gran Premio número 1,000. ",Italia podría recibir tres carreras de F1 este año 
"Estocolmo.- Finlandia, Suecia y Noruega registraron en los últimos días un inusual pequeño aumento de los niveles de radioactividad de origen humano, que es inofensivo para el hombre y cuya fuente se hallaría en Rusia, según un instituto holandés, y en Letonia, de acuerdo a otros indicios.",Inusual subida de niveles de radioactividad de origen humano en norte de Europa
María José se estrena como coach de La Voz México 2020 en Televisión Azteca.,"María José, edad, estatura y más de la coach de La Voz México"
"
Le platicamos que ayer los 16 alcaldes de la Ciudad de México, 12 morenistas como Néstor Núñez, de Cuauhtémoc; un priista, un panista, uno de Movimiento Ciudadano y otro que llegó por el PRD, Manuel Negrete, cerraron filas con la jefa de Gobierno, Claudia Sheinbaum, y condenaron el atentado que sufrió el secretario de Seguridad Ciudadana, Omar García Harfuch, quien sobrevivió, y afirmaron que trabajarán de forma coordinada con el gobierno federal y capitalino para bloquear al crimen y apostar a la prevención del delito. Lo interesante será ver el alcance que tendrán los buenos deseos de los ediles porque, en materia de seguridad pública, tienen muy pocas facultades y son el primer contacto con los vecinos y, a la vez, son los que tienen una mejor radiografía de lo que ocurre en sus territorios.",El alcance de los ediles en materia de seguridad pública
"Este domingo el mundo sobrepasó la cifra del medio millón de muertes por la pandemia del nuevo coronavirus, según un conteo de la Universidad Johns Hopkins.",Mundo rebasa el medio millón de muertes por Covid-19
"Durante mucho tiempo, la palabra homosexual ha sido relacionada con un pecado, un delito e, incluso, con una enfermedad mental, pero eso comenzó a cambiar el 15 de diciembre de 1973, cuando en un hecho histórico, la Sociedad Americana de Psiquiatría (APA) la eliminó del Manual de Diagnóstico Estadístico de los Trastornos Mentales.",
"Pep Guardiola, entrenador del Manchester City, confirmó en rueda de prensa que su equipo le hará el pasillo de honor al Liverpool, flamante campeón de la Premier League. ","Manchester City hará pasillo al Liverpool, confirma Guardiola"
"
Hay veces que la expresión más amorosa y elocuente es el silencio, pero le sigue la música. La música ejerce un gran poder. Su misterio y magia nos transforma; abre puertas interiores, se apodera del alma, tiene el prodigio de llevarnos de la mano hacia la luz y hacia el amor infinito, al menos así es para quienes hemos tenido la suerte de experimentarlo.",¿Qué música transmites?
"Entre sus actividades sabatinas, los vecinos de Lomas de Chapultepec no dejaron pasar el momento de observar los impactos de municiones de armas largas visibles en las fachadas de las casas, justo en el sitio en donde ocurrió el ataque contra el jefe de la policía capitalina.",Vuelve la normalidad a Lomas de Chapultepec tras ataque a García Harfuch 
"El mexicano Hirving Lozano volvió a sumar minutos con el Napoli en su victoria 3-1 ante el Spal de este domingo, en donde dejó buenas sensaciones para su técnico Gennaro Gattuso.",Gattuso elogia al 'Chucky': La velocidad de Hirving Lozano es una locura
"
Rodrigo González Sánchez, presidente del Colegio de Pediatras de Querétaro, señaló que los niños son menos vulnerables al SARS CoV-2 porque sus pulmones requieren de menos cantidad de un receptor de una enzima a la que se fija el virus.",“Los niños son menos vulnerables al coronavirus” 
"La Junta de Coordinación Política del Senado (Jucopo) resolvió restituir el reconocimiento del grupo parlamentario del PRD, que encabeza el legislador Miguel Ángel Mancera. ",Jucopo restituye reconocimiento a Grupo Parlamentario del PRD
"El FC Barcelona tuvo una amarga jornada en LaLiga después de dejar ir puntos al empatar con el Celta de Vigo. Uno de los futbolistas que más polémica crea por sus declaraciones es el defensor Gerard Piqué, quien tras finalizar el partido, levantó la voz y publicó un discutido mensaje que puede ser interpretado como una queja hacia el arbitraje.","Piqué enciende las redes, ¿para quién iba dirigido su polémico tweet?"
"Antes de alcanzar fama por su peculiar forma de narrar los partidos de fútbol, Enrique Bermúdez de la Serna comenzó su peregrinar en Guadalajara, ciudad donde conoció a su esposa y madre de sus dos hijos, Leticia Torres Prince.",La bella heredera tapatía del ‘Perro’ Bermúdez
"La Ciudad de México reabrirá parcialmente a partir de lunes 29 de junio, luego de que las autoridades redujeran el nivel de alerta en la vigilancia epidemiológica por la pandemia de Covid-19.",Semáforo naranja: estas actividades vuelven a partir de mañana en la CDMX
"
Los Centros para el Control y la Prevención de Enfermedades (CDC) agregaron tres signos a la lista de posibles síntomas de Covid-19 que publica en su sitio web. ",
"Ante la cuarentena por coronavirus Covid-19, el Instituto Nacional Electoral (INE) ha emitido dos medidas para quienes no cuentan con su credencial de elector o por si ésta no se encuentra actualizada.",Constancia Digital INE: ¿cómo tramitarla y para qué sirve?
"Italia registró 22 muertos con coronavirus en las últimas veinticuatro horas, un repunte respecto a ayer sábado que aumenta el balance a las 34 mil 738 víctimas mortales, mientras que se detectaron 174 nuevos contagios, informó hoy la Protección Civil.",Italia registra 22 muertos y 174 contagios por Covid-19 en un día
"
Nos cuentan desde Zacatecas que el hallazgo de 14 cadáveres en Fresnillo atribuidos al crimen organizado desató una reyerta de acusaciones y culpas entre el diputado morenista Omar Carrera Pérez y la dirigencia estatal del PRI, presidida por Gustavo Uribe Góngora, luego de que en sus redes sociales don Omar afirmó que el gobierno estatal está “aislado en materia de inseguridad”, por lo que se encomendaba a Dios. No obstante, nos detallan, ni tardo ni perezoso el PRI mandó un comunicado para exonerar al gobernador Alejandro Tello (PRI) de la violencia desatada en la entidad por el narcotráfico y responsabilizó a la Federación, además de señalar “insuficiencias y desatinos de la Guardia Nacional” en Zacatecas y el país, mientras que al diputado local le reprocharon no hacer nada para ayudar a disminuir la incidencia delictiva en su propia tierra. ¡Qué tal!",Hallan 14 cuerpos... y entre priistas y morenistas se echan culpas sin dar soluciones
"
Cuando los nazis llegaron al poder, las universidades fueron purgadas de científicos judíos con el argumento de que había que hacer ciencia aria. En la Rusia de Stalin corrieron a los científicos burgueses para hacer ciencia comunista. ¿Qué es una ciencia judía? ¿O una ciencia burguesa?",Metáfora 10: ¿Una ciencia neoliberal?
"
La modelo Kendall Jenner sorprendió a sus seguidores con una sesión de fotografías en lencería, las cuales forman parte de la promoción de la nueva línea de maquillaje de Kylie Cosmetics. ",
"
La válvula potosina desarrollada por investigadores en San Luis Potosí, devuelve la esperanza a pacientes delicados de Covid-19, pues tiene la función de regular el paso de oxígeno de un respirador clínico a una máscara, y además, previene el contagio de la enfermedad, y así hacer frente a la pandemia global por el coronavirus. ","Con tecnología 3D, potosinos crean válvula para enfrentar el Covid-19"
Texto: Susana Colin Moya,A 100 años del avionazo en la Lagunilla
"Sigue brillando el Napoli en este mes de junio. Tras coronarse con la Copa Italia a costa del Juventus, el equipo de Gennaro Gattuso doblegó el martes al Hellas Verona a domicilio y no falló este domingo en casa ante el modesto Spal de Ferra, penúltimo (3-1).","Napoli, con 'Chucky' Lozano, mantiene buena racha y derrota al Spal"
"Son tres los jugadores del Cruz Azul que dieron positivo de Covid-19, el resto son miembros del staff. Además de que de los siete indeterminados, que se comunicaron ayer por parte del club y de la Liga MX, dos son futbolistas.","De positivos por Covid-19 en Cruz Azul, tres son jugadores"
"
Steve Jobs fue un genio que revolucionó los teléfonos inteligentes, las computadoras personales y la manera de escuchar música. Apple, empresa que fundó, afianzó un mercado que aún deja grandes ganancias a su familia. ",
"Cada domingo, Carlos solía asistir a la iglesia Misión Cristiana Incluyente, la cual se ubica en la colonia Roma, alcaldía de Cuauhtémoc; esto, antes de la emergencia sanitaria.",¿Cómo es una iglesia a la que asisten personas de la comunidad LGBTTTI?
"El gobernador de California, Gavin Newsom, ordenó este domingo el cierre de los bares de Los Ángeles y de otros seis condados del estado en su intento de atajar la expansión de los casos de coronavirus en la región.",California cierra bares de Los Ángeles y 6 condados más para combatir el Covid-19
"
Un paquete de trámites acumulados, como el permiso por tiempo indefinido al senador Félix Salgado Macedonio (Morena), de Guerrero, donde habrá elección de gobernador en 2021, presentado desde mayo, podrán ser aprobados este domingo, por la Comisión Permanente, en su primera sesión presencial en el actual receso legislativo con emergencia sanitaria en todo el país.",Comisión Permanente citará a extra para T-MEC 
"
Se trata de la mafia más poderosa del país. También, a la que se atribuyen los mayores vínculos con cuerpos policiacos y con la clase política, especialmente la que condujo el gobierno durante el sexenio Peña Nieto, que dejó crecer sus tentáculos desde tres o cuatro hasta por lo menos 28 estados del país, con lo que logró una plataforma que le permite hoy operar en medio centenar de naciones.",¿Cómo llegamos hasta aquí? 
La energía eléctrica que permite encender diariamente cinco de cada 10 focos en el país está controlada por empresas privadas.,Empresas privadas controlan 45% de la energía eléctrica
"
Museos, zonas arqueológicas, bibliotecas, centros de trabajo y las tres escuelas del Instituto Nacional de Antropología e Historia (INAH) serán abiertos de forma gradual cuando el semáforo epidemiológico se encuentre en amarillo y verde.",INAH: “Turismo no nos presionará para abrir museos y zonas arqueológicas”
"La Comisión Metropolitana de Instituciones Públicas de Educación Media Superior (COMIPEMS), informó a los aspirantes registrados para participar en la edición 2020 del Concurso de Asignación a la Educación Media Superior de la Zona Metropolitana de la Ciudad de México, que:","Nuevas fechas para examen COMIPEMS 2020, ¿cuándo son?"
"
Una juez federal en el estado de San Luis Potosí concedió un amparo a una niña, que actualmente cursa el quinto grado de primaria, para que las autoridades educativas garanticen que recibirá educación en instalaciones adecuadas, en condiciones de higiene y seguridad.",Niña gana demanda para que mejoren su escuela en San Luis Potosí
"Al anunciar el Gobierno capitalino que el próximo martes serán reanudadas las actividades de 27 mil negocios de los perímetros A y B, así como de seis mil vendedores en la vía pública, la líder del ambulantaje en el Centro Histórico, Alejandra Barrios Richard, externó su molestia por la “drástica y arbitraria” medida.
 
Incluso, le mandó un mensaje a la jefa de Gobierno capitalino, Claudia Sheinbaum: “Vender todos los días es nuestra sobrevivencia, no de forma escalonada. Nuestras familias no comen un día sí, otro día no, pues aunque parezca mentira comemos todos los días”, enfatizó con ironía.
 
Entrevistada por EL UNIVERSAL, la dirigente sostuvo que ella y sus agremiados, “entendemos el asunto de la sana distancia, respetar las medidas de seguridad para que no se expanda el virus, pero nosotros, los olvidados por su administración, tenemos urgencia de trabajar. Entonces que quede claro, sino morimos de la pandemia si de hambre”, advirtió.
 
Le recordó a Sheinbaum Pardo que “ustedes, los funcionarios del gobierno federal y local, tiene su sueldo seguro, sus prestaciones, vales, aguinaldos etcétera, pero nosotros no, los vendedores en el espacio público, vamos al día. Por eso de que vamos a trabajar unos días sí y otros no, pues nos parece drástico y arbitrario”, reiteró.
 
Ante esta actitud de la jefa de Gobierno, “de tener oídos sordos”, se dirigió al presidente Andrés Manuel López Obrador, “recurrimos a usted y le pido pueda abrir su agenda para que nos reciba a los dirigentes del comercio popular en la Ciudad de México”, exigió.
 
Cabe recordar que este martes, reabrirá el comercio establecido y el ambulantaje, para lo cual el Gobierno capitalino habilitará 30 calles peatonales emergentes en el Centro Histórico –con las que suman 43–, mientras que otras 12 más serán flexibles, aunque la mitad del arroyo será destinado exclusivamente para los transeúntes.
 
Dicha medida, aclaró la autoridad, es con el fin de evitar las aglomeraciones y garantizar la sana distancia en la reanudación de las actividades comerciales.
 
La secretaria de Gobierno, Rosa Icela Rodríguez Velázquez, explicó que acordaron que la actividad comercial será limitada a 50%, con un esquema en el que los negocios con números pares abran lunes, miércoles y viernes, mientras los nones lo harán martes, jueves y sábado, de forma alterna cada semana en un horario de 11:00 a 17:00 horas, con las medidas de seguridad sanitaria.
 
Con eso, esperan reducir a 300 mil personas la afluencia diaria en la zona, que en días habituales es de dos millones de visitantes.
 
Mientras que en el caso de los seis mil comerciantes ambulantes, el Gobierno capitalino informó que acordaron que lo harán también de forma escalonada, para lo cual dividirán la parte oriente del Centro Histórico en tres tramos: norte, centro y sur, con la intención de que cada polígono sólo opere dos días a la semana.
 
Los ambulantes sólo podrán colocar sus puestos en rejillas de 1.20 por 2 metros y en la banqueta contraria a los establecimientos mercantiles abiertos.
 
“Queremos verlo de manera optimista, el bien de la salud primero y por el bien de la economía después. Por eso, no se imaginan, la participación de los comerciantes del Centro Histórico para el cumplimiento de las medidas sanitarias están al cien. Esperamos que no las relajen después. Hemos hablando es que están muy preparados con el equipo necesario para sus empleados para enfrentar a la emergencia. Lo que requieren es que haya empleo y reactivación económica del Centro Histórico”, dijo Rodríguez Velázquez.",Disgusta a líder ambulante esquema de reapertura del Centro Histórico ante Covid-19
"Algunos prefieren a los perros pequeños, caseros y diminutos... pero otros dueños de mascotas escogen a los perros más grandes, ya que son excelentes compañeros de juego y tienen una apariencia muy especial e imponente ¡Conoce a los perros gigantes del mundo animal!",
"Luego de que el académico universitario John Ackerman, esposo de Irma Eréndira Sandoval, titular de la Secretaría de la Función Pública (SFP), asegurara esta mañana, tras el atentado contra Omar García Harfuch, secretario capitalino de Seguridad Ciudadana, que los sicarios del narco son “la contracara del sicariato mediático”, el Comité para la Protección de los Periodistas (CPJ, por sus siglas en inglés), expresó su preocupación por cualquier caracterización de periodistas mexicanos como “sicarios”, debido a que México es uno de los países más violentos para la prensa al nivel mundial.",Preocupa a CPJ expresiones de Ackerman contra la prensa tras atentado de García Harfuch
"El gobierno de Canadá no tiene algún encuentro confirmado entre el presidente de México, Andrés Manuel López Obrador, y el primer ministro Justin Trudeau, en el marco de la entrada en vigor del Tratado de libre comercio entre estos dos países y Estados Unidos (T-MEC).",No hay encuentro confirmado entre AMLO y Trudeau por T-MEC
"
“Fueron días muy duros para mí y mi familia. Cuando acudí al hospital, la angustia me invadió ante la posibilidad de que me había contagiado por el virus”, contó Andrés, un hombre de 51 años de edad, luego de salir del Hospital General número 1 del IMSS, el pasado 22 de mayo.","“La angustia me invadió ante la posibilidad de haberme contagiado de coronavirus"""
"
Durante la llamada “nueva normalidad” las ventas en los restaurantes y cafeterías del Centro Histórico aún se mantienen bajas, informó Alfonso González Hurtado, presidente de la Asociación de Comerciantes Establecidos del Centro Histórico.",Continúan bajas las ventas en el Centro de Querétaro
"El presidente Andrés Manuel López Obrador estimó que para julio próximo se detendrá la caída de los empleos formales ante el IMSS porque como adelantó la crisis económica será en ""V"".","Caída de empleos se detendrá en julio, estima AMLO"
"Luis Suárez, delantero uruguayo del Barcelona, pidió a su entrenador Quique Setién la razón por la que dejan escapar puntos lejos del Camp Nou y aseguró tras el empate a dos tantos en Balaídos frente al Celta que ""para algo están los entrenadores"", ya que dijo que los jugadores lo dan ""todo dentro del campo"". ",El contundente mensaje de Luis Suárez a Quique Setién
"Con más de un año de experiencia en el futbol mexicano como técnico de los Pumas, Miguel González Míchel ya trabaja en el armado del equipo rumbo al Apertura 2020. Complicada misión para el español.",Los 'problemas' de Míchel González rumbo al Apertura 2020
"
Juchitán de Zaragoza.- La autorización de la Manifestación de Impacto Ambiental (MIA) que dio la Secretaría de Medio Ambiente y Recursos Naturales (Semarnat)  a la empresa Ferrocarril del Istmo de Tehuantepec (FIT) para iniciar con las obras de rehabilitación de las vías del Tren Transístmico, establece al menos 10 requerimientos obligatorios previos que deben cumplirse  antes de arrancar los trabajos; sin embargo, aunque estos “candados” no se han cubierto del todo, las labores para modernizar casi 133 kilómetros de las vías férreas ya comenzaron.",Semarnat puso candados para obras del Tren Transístmico; aprobación es “condicionada” 
El Día del Padre 2020 se celebrará el próximo domingo 21 de junio.,¿Cuándo es el Día del Padre en México 2020?
"Yo soy Betty, la fea es una de las telenovelas más exitosas de todos los tiempos. Y sus personajes y elenco traspasaron la pantalla.","Yo soy Betty, la fea, elenco, personajes y actores antes y después"
"Santiago Arbide, representante de Alfredo Talavera aceptó que los Pumas muestran gran interés en hacerse de los servicios del portero, pero se espera que mañana lunes llegue la oferta formal:",Pumas hará oferta formal por Alfredo Talavera
"La mañana de este 28 de junio, el coordinador del Partido Acción Nacional (PAN) en la Cámara de Diputados en San Lázaro, Juan Carlos Romero Hicks, confirmó a través de Twitter la muerte de su hijo Juan Carlos Siekman. Sin entrar en pormenores sobre la causa del fallecimiento lo recordó como un hombre entregado a las artes y también agradeció todas las muestras de cariño y apoyo que le han hecho llegar. ",
"
Madrid, España.-",Crisis postcovid. Transportistas buscan ayuda en España
"Si eres un aficionado de la cocina o incluso si te consideras un experto frente a la sartén, debes admitir que hay cosas nuevas que aprender cada día respecto a la gastronomía. Es por eso por lo que también existen errores que seguro has cometido a la hora de preparar alimentos ¡sin saberlo!",
"En la barra de programación de las diferentes cadenas de televisión existen programas con mala suerte alrededor de su elenco, casos como ‘La Voz México’ o ‘Enamorándonos’ pueden considerarse como ejemplos de la maldición que los persigue.",‘Enamorándonos’ y su maldición
"Nueva York celebró este domingo el Día del Orgullo LGBTI sin su multitudinario desfile, cancelado en su 50 aniversario por la Covid-19, pero la reivindicación por los derechos y libertades de esta comunidad estuvo presente tanto en un evento virtual como en las calles, donde una marcha alternativa sumó fuerzas con el movimiento Black Lives Matter (BLM).",Nueva York celebra los 50 años de su Desfile del Orgullo con evento virtual
"No hay dudas… los hermanos Wachowski se ganaron un lugar importante en la historia del cine tras dirigir una de las películas más emblemáticas del siglo pasado: Matrix (1999). Se trata de una película que les generó un rápido y rotundo éxito, que provocó un gran impacto por sus innovaciones visuales.",
"
Al terminar su mandato, don Felipe Calderón pasó algunos meses en Harvard. Nunca se supo si dio clases en la augusta Universidad, si realizó determinado tipo de investigación, si publicó artículos en doctas y académicas revistas o simplemente se refugió tras su lamentable mandato y su contribución, como tantos otros, si no es que todos sus antecesores, a la destrucción del país. Después de haberle declarado la “guerra al narco”, desde la comodidad de su despacho, y con su familia bien resguardada, el conflicto entre mexicanos, sin vínculos con el narcotráfico, y mexicanos, incluyendo políticos, dedicados a comprar y vender estupefacientes, se incrementó. Menuda herencia del calderonismo. El expresidente, obligado por la sociedad, intentó menguar el dolor de los familiares de las nunca veraces cifras oficiales de muertos y desaparecidos mediante el polémico Memorial de las Víctimas, que en esa época, de acuerdo a números gubernamentales, siempre falsos, eran, hasta noviembre de 2012, 60 mil muertos y 10 mil desaparecidos.",México como violencia
"
La Fiscalía General del Estado de Oaxaca (FGEO) informó que un juez vinculó a proceso a un sujeto, señalado como probable responsable del delito de violación agravada en contra de sus dos hijas de 11 y ocho años de edad.",Vinculan a sujeto que presuntamente atacó sexualmente a sus dos hijas en Oaxaca
Reynosa.— La funeraría Valle de la Paz ha recibido más de 40 cuerpos de gente que falleció por Covid-19.,Don Óscar aligera duelo de familias
"Washington.- El número de casos confirmados de COVID-19 en todo el mundo acaba de superar los 10 millones, según el recuento de la Universidad John Hopkins, mientras que el de número de muertos está cerca del medio millón.",Coronavirus: número de casos de Covid-19 en el mundo supera los 10 millones
"
Las calificaciones y certificados correspondientes al ciclo escolar 2019-2020, ya están disponibles y pueden consultarse a través de las páginas seslp.gob.mx, http://cpte.gob.mx/calificaciones/ y en la aplicación para celular Calificaciones SLP, informó su titular Joel Ramírez Díaz, quien precisó que en ambos casos es un trámite completamente gratuito. ",Ofrece la SEGE consulta de boleta de calificaciones y certificados a través de celular e internet
